titleId	directors	writers
tt0000023	nm0525910	
tt0000181	nm0808310	nm0674518
tt0000225		nm0207305
tt0000230	nm0617588	nm0674518
tt0000420	nm0378408,nm0832948	nm0140902,nm0378408
tt0000439	nm0692105	nm1145809,nm0692105
tt0000471	nm0692105	nm0832952
tt0000472	nm0002615	nm0832952
tt0000487	nm0002615	
tt0000609	nm0892614,nm0143333	nm0000636
tt0000610	nm0691994	nm0000636
tt0000630	nm0143333	nm0000636
tt0000668	nm0091767,nm0675544	nm0241416
tt0000709	nm0710362,nm0085865	nm0509478,nm0000636
tt0000711	nm0567363	nm2088653,nm0853193
tt0000717	nm0085865	nm0000636
tt0000724	nm0085865	nm0509478,nm0000636
tt0000734	nm0710362	nm0000636
tt0000736	nm0567363	nm0000428
tt0000746	nm0000428	nm0150432,nm0191885,nm0000428,nm0940488
tt0000750	nm0085865,nm0710362	nm0000636
tt0000758	nm0488932	
tt0000770	nm0000428	nm0000428,nm0000636,nm0813603
tt0000823	nm0000428	nm0940488
tt0000828	nm0000428	nm0000428
tt0000841	nm0000428	nm0681933
tt0000928	nm0085865,nm0710362	nm0612348,nm0000636
tt0000950	nm0143333	nm0000636
tt0000961	nm0000428	nm0940488
tt0000966	nm0085865,nm0448682	nm0612348,nm0000636
tt0000990	nm0085865	nm0002042,nm0612348
tt0000998	nm0266080	nm0000636
tt0001008	nm0205986	nm0205986,nm0878494
tt0001016	nm0000428	nm0866243,nm0940488
tt0001106	nm0692105	nm0140902
tt0001117	nm0029253,nm0954087	nm0000636
tt0001175	nm0580197,nm0693516,nm0130633	nm0241414,nm0693516
tt0001207	nm0000428	nm0940488
tt0001211	nm0029253,nm1108042	
tt0001223	nm0205986	nm0791217,nm0205986
tt0001227	nm0000428	nm0567615
tt0001240	nm0088881	nm0000636
tt0001241	nm0055011,nm0713223	nm0000636,nm0713223
tt0001242	nm0221142	nm0000636
tt0001264	nm0000428	nm0853193
tt0001299	nm0130633	nm0141150,nm0000636
tt0001334	nm0288616	nm0000428
tt0001432	nm0085865	nm0832952,nm0612348,nm0836316
tt0001544	nm0448682,nm0205986,nm0587929	nm0002042
tt0001545	nm0629589	nm0674518
tt0001632		nm0519675
tt0001658	nm0055011,nm0002504	nm0000636,nm0002504,nm0282040
tt0001715	nm0072493	nm0000636
tt0001728		nm0178126
tt0001761		nm0000636
tt0001812	nm0294276	nm0814668
tt0001857	nm0072493	nm0000636
tt0001872	nm0806961,nm0875869	nm0107543,nm0370426
