titleId,titleType,originalTitle,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1074993,video,'N Sync: 'N the Mix,2001.0,,78.0,Documentary,7.8,21
tt0329951,tvSpecial,'N Sync: PopOdyssey Live,2002.0,,83.0,Music,7.5,89
tt0090557,movie,Round Midnight,1986.0,,133.0,"Drama,Music",7.4,4907
tt0455296,short,'Round Midnight,2005.0,,5.0,Short,8.8,10
tt0614159,tvEpisode,'Round Midnight,1990.0,,,"Crime,Drama",7.3,19
tt1656914,tvEpisode,...And Justice for All,2011.0,,28.0,"Comedy,Drama",8.8,1130
tt0419299,tvSeries,.hack//Tasogare no udewa densetsu,2003.0,,25.0,"Action,Adventure,Animation",6.2,408
tt0361140,tvSeries,.hack//SIGN,2002.0,2003.0,25.0,"Action,Adventure,Animation",6.9,1267
tt0312296,movie,1 Giant Leap,2002.0,,155.0,"Documentary,Music",7.6,389
tt0312297,movie,10 Attitudes,2001.0,,87.0,"Comedy,Drama",4.9,299
tt0147800,movie,10 Things I Hate About You,1999.0,,97.0,"Comedy,Drama,Romance",7.3,313668
tt10562632,tvEpisode,10 Things I Hate About You,2019.0,,,"Drama,Romance",8.7,6
tt1321805,tvSeries,10 Things I Hate About You,1999.0,2010.0,30.0,Comedy,7.3,5851
tt1747465,tvEpisode,10 Things I Hate About You,2007.0,,24.0,"Animation,Comedy,Fantasy",7.5,8
tt0085121,movie,10 to Midnight,1983.0,,101.0,"Crime,Drama,Thriller",6.3,7564
tt0364146,tvMiniSeries,10.5,2004.0,2004.0,165.0,"Action,Adventure,Drama",4.7,3833
tt0101244,movie,100 Days,1991.0,,161.0,"Horror,Romance,Thriller",6.5,1019
tt0315100,movie,100 Days,2001.0,,100.0,Drama,7.3,75
tt2475066,movie,Zhen ai 100 tian,2013.0,,104.0,"Comedy,Drama,Romance",7.0,93
tt5595308,tvEpisode,100 Days,2016.0,,59.0,Documentary,7.8,34
tt6183418,tvSeries,100 Days,2016.0,2016.0,30.0,Thriller,4.7,23
tt0100694,movie,Sto dney do prikaza,1991.0,,71.0,Drama,5.3,413
tt0214388,movie,100 Girls,2000.0,,94.0,"Comedy,Romance",5.8,22549
tt0299422,movie,100 Mile Rule,2002.0,,98.0,Comedy,5.6,756
tt0465888,video,100 Years of Comedy,1997.0,,120.0,Documentary,5.6,63
tt0166940,tvSeries,100 Years of Horror,1996.0,,343.0,"Documentary,Horror",7.2,407
tt0433517,video,100 Years of the World Series,2003.0,,185.0,"Documentary,History,Sport",8.2,66
tt6329102,tvEpisode,101 Dalmatians II: Patch's London Adventure,2016.0,,,"Documentary,Short",7.0,14
tt0211181,movie,102 Dalmatians,2000.0,,100.0,"Adventure,Comedy,Family",4.9,36400
tt0331811,movie,11:14,2003.0,,86.0,"Crime,Drama,Mystery",7.2,46516
tt0050083,movie,12 Angry Men,1957.0,,96.0,"Crime,Drama",9.0,728829
tt0118528,tvMovie,12 Angry Men,1997.0,,117.0,"Crime,Drama",7.8,14016
tt7879140,tvEpisode,12 Angry Men,2018.0,,12.0,"Comedy,Talk-Show",8.3,16
tt0114746,movie,Twelve Monkeys,1995.0,,129.0,"Mystery,Sci-Fi,Thriller",8.0,595559
tt3148266,tvSeries,12 Monkeys,2015.0,2018.0,42.0,"Adventure,Drama,Mystery",7.7,42472
tt0053559,movie,13 Ghosts,1960.0,,85.0,"Horror,Mystery",6.1,5840
tt5576946,tvEpisode,13 Ghosts,2009.0,,,"Comedy,Drama,Horror",6.1,15
tt0337563,movie,13 Going on 30,2004.0,,98.0,"Comedy,Fantasy,Romance",6.2,176989
tt0619741,tvEpisode,13 Going on 30,2005.0,,55.0,"Crime,Drama,Mystery",8.3,20
tt0276744,movie,13 Moons,2002.0,,93.0,Comedy,5.8,1231
tt0038279,movie,13 Rue Madeleine,1946.0,,95.0,"Action,Adventure,Drama",6.9,2788
tt0874253,tvMovie,1421: The Year China Discovered America?,2004.0,,113.0,Documentary,6.5,69
tt0313844,movie,16 December,2002.0,,158.0,"Action,Thriller",6.9,1270
tt0331338,movie,16 Years of Alcohol,2003.0,,102.0,"Crime,Drama",6.2,1697
tt0068156,movie,1776,1972.0,,141.0,"Drama,Family,History",7.6,9300
tt12846096,tvSeries,Eitin Eogein,2020.0,2020.0,70.0,"Comedy,Fantasy,Romance",8.2,1151
tt0078723,movie,1941,1979.0,,118.0,"Action,Comedy,War",5.8,32513
tt0295481,short,1941,1941.0,,7.0,Short,6.3,154
tt1463390,tvSeries,1941,2009.0,,,War,6.3,41
tt9495828,tvEpisode,1941,2019.0,,28.0,Comedy,8.7,7
tt0109010,movie,1942: A Love Story,1994.0,,157.0,"Action,Drama,History",7.2,3303
tt0094594,movie,1969,1988.0,,95.0,"Drama,War",5.8,3709
tt0709028,tvEpisode,1969,1999.0,,44.0,"Action,Adventure,Drama",8.8,1349
tt0855689,short,1969,2006.0,,8.0,"Drama,Short",8.2,8
tt10150924,tvSeries,1969,2019.0,2019.0,60.0,"Documentary,History",7.0,124
tt10660560,tvEpisode,1969,2019.0,,22.0,Music,7.9,9
tt13708240,tvEpisode,1969,2020.0,,,Horror,9.7,21
tt3762600,short,1969,2013.0,,22.0,"Comedy,Drama,Short",6.3,7
tt0048918,movie,1984,1956.0,,90.0,"Drama,Sci-Fi",7.0,3491
tt0087803,movie,Nineteen Eighty-Four,1984.0,,113.0,"Drama,Sci-Fi",7.1,69218
tt0659728,tvEpisode,1984,2004.0,,58.0,"Comedy,Crime,Drama",7.5,204
tt0712166,tvEpisode,1984,1953.0,,60.0,Drama,6.5,60
tt0775944,tvEpisode,1984,2000.0,,,"Biography,Documentary,Music",7.0,11
tt10715176,tvEpisode,1984,2019.0,,,"Biography,Crime,Drama",7.4,57
tt11639428,tvEpisode,1984,2020.0,,,Music,7.4,10
tt1314436,tvEpisode,1984,1996.0,,66.0,"Drama,History",8.1,39
tt1517908,tvEpisode,1984,2002.0,,,"Comedy,Documentary,History",8.3,13
tt1537016,video,1984,2009.0,,3.0,"Sci-Fi,Short",7.6,11
tt1615619,tvEpisode,1984,2003.0,,,"Comedy,Documentary",8.1,10
tt2814180,tvMovie,1984,2006.0,,167.0,"Drama,Music,Musical",6.7,32
tt3566368,tvEpisode,1984,2014.0,,43.0,Drama,8.1,704
tt7015988,tvEpisode,1984,2018.0,,,"Crime,Drama,Thriller",7.8,104
tt0115438,movie,2 Days in the Valley,1996.0,,104.0,"Comedy,Crime,Thriller",6.5,19194
tt0322259,movie,2 Fast 2 Furious,2003.0,,107.0,"Action,Crime,Thriller",5.9,262794
tt1899497,tvEpisode,2 Fast 2 Furious,2011.0,,20.0,"Action,Comedy,Fantasy",6.4,17
tt0158446,movie,2 secondes,1998.0,,100.0,"Comedy,Drama,Romance",6.5,546
tt0050084,movie,20 Million Miles to Earth,1957.0,,82.0,"Adventure,Fantasy,Horror",6.4,6934
tt5576800,tvEpisode,20 Million Miles to Earth,2008.0,,,"Comedy,Drama,Horror",5.7,12
tt0387805,movie,200 American,2003.0,,84.0,"Comedy,Drama,Romance",5.3,824
tt0137338,movie,200 Cigarettes,1999.0,,101.0,"Comedy,Drama,Romance",6.0,15083
tt0316958,tvSeries,2000 Jahre Christentum,2000.0,,125.0,Documentary,7.2,46
tt0062622,movie,2001: A Space Odyssey,1968.0,,149.0,"Adventure,Sci-Fi",8.3,629197
tt0866909,tvEpisode,2001: A Space Odyssey,2005.0,,,Documentary,7.0,10
tt1775384,tvEpisode,2001: A Space Odyssey,2008.0,,,"Comedy,Short",5.1,17
tt0157262,movie,2001: A Space Travesty,2000.0,,99.0,"Comedy,Sci-Fi",3.5,11853
tt2739130,tvSeries,2003 World Series,2003.0,,,Sport,6.1,9
tt0086837,movie,2010: The Year We Make Contact,1984.0,,116.0,"Adventure,Mystery,Sci-Fi",6.8,51339
tt0315733,movie,21 Grams,2003.0,,124.0,"Crime,Drama,Thriller",7.6,230545
tt0075610,tvMovie,21 Up,1977.0,,100.0,"Biography,Documentary",8.1,2631
tt0274309,movie,24 Hour Party People,2002.0,,117.0,"Biography,Comedy,Drama",7.3,35940
tt0222666,movie,24 Hours in London,2000.0,,90.0,"Crime,Thriller",3.4,640
tt0307901,movie,25th Hour,2002.0,,135.0,Drama,7.6,174625
tt5181374,tvEpisode,25th Hour,2016.0,,45.0,"Comedy,Drama",9.4,3413
tt6239182,tvEpisode,25th Hour,2016.0,,21.0,"Animation,Comedy",7.1,18
tt0191754,movie,28 Days,2000.0,,103.0,"Comedy,Drama",6.1,47248
tt1449733,tvEpisode,28 Days Later,2005.0,,,"Comedy,Music,Reality-TV",7.3,14
tt0088650,tvMovie,28 Up,1984.0,,136.0,"Biography,Documentary",8.2,2811
tt0283090,movie,29 Palms,2002.0,,93.0,"Comedy,Crime,Drama",4.7,1791
tt0101252,movie,29th Street,1991.0,,101.0,"Comedy,Drama",7.3,2790
tt0362387,movie,2LDK,2003.0,,70.0,"Drama,Horror,Thriller",6.9,3509
tt0194635,movie,3 A.M.,1975.0,,86.0,"Adult,Drama,Mystery",6.2,142
tt0248661,movie,3 A.M.,2001.0,,92.0,"Crime,Mystery,Romance",5.8,1304
tt1265961,video,3 A.M.,2008.0,,91.0,Thriller,2.6,225
tt0103596,movie,3 Ninjas,1992.0,,84.0,"Action,Comedy,Family",5.3,21069
tt1644135,tvEpisode,3 Ninjas,2008.0,,,"Comedy,Fantasy",6.8,93
tt0112255,movie,3 Ninjas: Knuckle Up,1993.0,,85.0,"Action,Comedy,Family",4.3,5690
tt0199290,movie,3 Strikes,2000.0,,82.0,Comedy,4.9,3437
tt2202792,tvSeries,3 Strikes,2012.0,,25.0,Comedy,6.6,5
tt12434126,movie,3 Way,2021.0,,,Drama,3.6,7
tt11137272,movie,Respect,2020.0,,76.0,Drama,3.2,43
tt1341315,tvEpisode,3 Women,2009.0,,44.0,"Crime,Drama,Mystery",7.6,249
tt0414795,video,3-2-1 Penguins: The Cheating Scales of Bullamanka,2001.0,,30.0,"Adventure,Animation,Comedy",6.1,70
tt0436015,video,3-2-1 Penguins: The Doom Funnel Rescue!,2002.0,,31.0,"Adventure,Animation,Comedy",7.0,38
tt0423866,movie,Bin-jip,2004.0,,88.0,"Crime,Drama,Romance",8.0,52945
tt1594959,short,3-Iron,2010.0,,15.0,"Comedy,Drama,Short",6.8,9
tt0174446,tvMovie,Nightworld: 30 Years to Life,1998.0,,90.0,"Drama,Mystery,Sci-Fi",5.3,183
tt0273048,movie,30 Years to Life,2001.0,,110.0,"Comedy,Drama,Romance",5.9,279
tt0233142,movie,3000 Miles to Graceland,2001.0,,125.0,"Action,Comedy,Crime",6.0,45388
tt0101254,tvMovie,35 Up,1991.0,,123.0,"Biography,Documentary",8.2,2476
tt0229939,video,38 Special: Live at Sturgis,1999.0,,83.0,"Documentary,Music",7.2,24
tt0401088,tvMovie,3: The Dale Earnhardt Story,2004.0,,92.0,"Biography,Drama,Sport",6.9,1617
tt0050086,movie,3:10 to Yuma,1957.0,,92.0,"Drama,Thriller,Western",7.6,19034
tt0381849,movie,3:10 to Yuma,2007.0,,122.0,"Action,Crime,Drama",7.7,297781
tt0118540,movie,4 Little Girls,1997.0,,102.0,"Documentary,History",7.8,3135
tt0243736,movie,40 Days and 40 Nights,2002.0,,96.0,"Comedy,Romance",5.6,72356
tt0164312,tvMovie,42 Up,1998.0,,139.0,"Biography,Documentary",8.2,2567
tt0083511,movie,48 Hrs.,1982.0,,96.0,"Action,Comedy,Crime",6.9,74129
tt0052530,movie,4D Man,1959.0,,85.0,"Action,Horror,Romance",5.9,1810
tt9909762,tvEpisode,4D Man,2019.0,,,"Comedy,Drama,Horror",7.1,18
tt0464783,movie,5 Sides of a Coin,2003.0,,70.0,"Documentary,Music",8.2,92
tt0343660,movie,50 First Dates,2004.0,,99.0,"Comedy,Drama,Romance",6.8,338571
tt0425394,tvEpisode,50 First Dates,2004.0,,20.0,Comedy,6.5,48
tt0594800,tvEpisode,50 First Dates,2004.0,,,"Documentary,Short",6.8,14
tt0111868,tvMiniSeries,500 Nations,1995.0,1995.0,374.0,History,8.5,495
tt0120577,movie,54,1998.0,,93.0,"Drama,Music",5.8,32523
tt14720902,tvEpisode,54,2014.0,,,"Adventure,Family,Fantasy",7.2,10
tt3813648,tvEpisode,54,1968.0,,28.0,"Family,Fantasy,Music",8.4,7
tt0056800,movie,55 Days at Peking,1963.0,,154.0,"Action,Adventure,Drama",6.7,6398
tt0386907,tvMiniSeries,5ive Days to Midnight,2004.0,2004.0,210.0,"Action,Drama,Mystery",6.7,2610
tt0250934,tvMovie,61*,2001.0,,129.0,"Biography,Drama,History",7.8,15814
tt0057811,movie,633 Squadron,1964.0,,102.0,"Drama,War",6.4,3817
tt0235154,movie,Ruang talok 69,1999.0,,118.0,"Comedy,Crime,Thriller",7.2,2040
tt0348816,movie,7 Days in September,2002.0,,94.0,Documentary,7.3,181
tt0057812,movie,7 Faces of Dr. Lao,1964.0,,100.0,"Fantasy,Mystery,Western",7.2,4740
tt0417395,video,7 Seconds,2005.0,,96.0,"Action,Comedy,Crime",4.8,7153
tt0654712,tvEpisode,8 1/2,2004.0,,,Comedy,8.4,19
tt0118541,movie,8 Heads in a Duffel Bag,1997.0,,95.0,"Adventure,Comedy,Crime",5.4,10211
tt0182668,movie,Eitoman - Subete no sabishii yoru no tame ni,1992.0,,83.0,"Action,Sci-Fi",5.5,93
tt0298203,movie,8 Mile,2002.0,,110.0,"Drama,Music",7.1,264319
tt0928293,tvEpisode,8 Mile,2002.0,,,Talk-Show,7.8,6
tt4935778,tvEpisode,8 Mile,2015.0,,,Comedy,7.1,64
tt0109021,movie,8 Seconds,1994.0,,105.0,"Biography,Drama,Sport",6.6,5048
tt2233974,tvEpisode,8 Seconds,2012.0,,44.0,"Action,Crime,Drama",8.5,951
tt4158834,movie,8 Seconds,2015.0,,120.0,"Biography,Drama,Fantasy",6.5,1837
tt0283832,movie,8 femmes,2002.0,,111.0,"Comedy,Crime,Musical",7.1,31462
tt0292886,movie,800 balas,2002.0,,124.0,"Action,Comedy,Drama",6.3,4394
tt0306206,tvEpisode,Les voyages extraordinaires de Jules Verne - La Jangada,2001.0,,48.0,"Adventure,Animation,Sci-Fi",7.4,30
tt0090570,movie,84 Charing Cross Road,1987.0,,100.0,"Biography,Drama,Romance",7.5,9720
tt0134273,movie,8MM,1999.0,,123.0,"Crime,Drama,Mystery",6.5,128471
tt0370244,movie,Nain souruzu,2003.0,,120.0,"Adventure,Comedy,Crime",7.2,1727
tt0312318,tvMovie,9/11,2002.0,,112.0,Documentary,8.5,8126
tt0972353,tvEpisode,9/11,2007.0,,,Documentary,4.8,118
tt1577238,tvEpisode,9/11,2009.0,,44.0,Documentary,7.1,46
tt2035062,tvEpisode,9/11,2011.0,,88.0,"Biography,Documentary",6.6,5
tt2081945,tvEpisode,9/11,2011.0,,,Documentary,7.7,33
tt4917224,movie,9/11,2017.0,,90.0,Action,4.3,3694
tt5940452,tvEpisode,9/11,2016.0,,50.0,"Comedy,Documentary",9.3,9
tt7606930,tvEpisode,9/11,2018.0,,50.0,"Drama,History",8.7,474
tt0092499,movie,90 Degrees South,1987.0,,70.0,Documentary,8.6,26
tt0121506,movie,Long Wei shan zhuang,1977.0,,91.0,"Action,Comedy",5.7,54
tt0268978,movie,A Beautiful Mind,2001.0,,135.0,"Biography,Drama",8.2,880612
tt0617861,tvEpisode,A Beautiful Mind,2002.0,,22.0,Comedy,6.8,96
tt1774081,tvEpisode,A Beautiful Mind,2010.0,,23.0,Comedy,8.2,463
tt0092263,movie,Ying hung boon sik,1986.0,,95.0,"Action,Crime,Drama",7.5,21827
tt0214531,short,A Better Tomorrow,1945.0,,,Short,7.2,37
tt1138442,movie,Moo-jeok-ja,2010.0,,124.0,"Action,Crime,Drama",5.8,1090
tt1747466,tvEpisode,A Better Tomorrow,2007.0,,24.0,"Animation,Comedy,Fantasy",7.0,6
tt2641190,tvEpisode,A Better Tomorrow,2013.0,,,"Action,Adventure,Animation",3.7,153
tt3108594,short,A Better Tomorrow,2013.0,,12.0,Short,7.2,22
tt0094357,movie,Ying hung boon sik II,1987.0,,105.0,"Action,Crime,Drama",7.3,9828
tt0168504,movie,A Better Way to Die,2000.0,,101.0,"Action,Comedy,Crime",5.6,1633
tt0259894,video,A Bing Crosby Christmas,1998.0,,60.0,"Comedy,Documentary,Music",6.8,71
tt0038379,short,A Boy and His Dog,1946.0,,21.0,"Drama,Family,Short",6.2,215
tt0072730,movie,A Boy and His Dog,1975.0,,91.0,"Comedy,Drama,Sci-Fi",6.5,17311
tt0147923,short,A Boy and His Dog,1936.0,,,"Animation,Short",6.7,16
tt2539226,tvEpisode,A Boy and His Dog,2013.0,,41.0,"Drama,Horror,Mystery",8.1,2015
tt0075784,movie,A Bridge Too Far,1977.0,,175.0,"Drama,History,War",7.4,54438
tt0516445,tvEpisode,A Bridge Too Far,2002.0,,,"Comedy,Drama",8.2,40
tt0543342,tvEpisode,A Bridge Too Far,1990.0,,25.0,"Crime,Drama,Game-Show",6.7,11
tt0719751,tvEpisode,A Bridge Too Far,1979.0,,,Comedy,6.9,17
tt1138808,tvEpisode,A Bridge Too Far,1998.0,,,"Documentary,War",6.7,7
tt1590748,short,A Bridge Too Far,2010.0,,7.0,"Adventure,Biography,Comedy",6.5,8
tt4273450,tvEpisode,A Bridge Too Far,2014.0,,44.0,"Adventure,Reality-TV",7.0,8
tt7398826,tvEpisode,A Bridge Too Far,2017.0,,42.0,"Crime,Documentary,Mystery",7.2,21
tt7507418,tvEpisode,A Bridge Too Far,2017.0,,41.0,"Adventure,Documentary,Reality-TV",8.5,12
tt8940028,tvEpisode,A Bridge Too Far,2018.0,,42.0,"Crime,Documentary",8.2,9
tt0069823,movie,Una breve vacanza,1973.0,,112.0,"Drama,Romance",7.4,866
tt0126220,tvMovie,A Bright Shining Lie,1998.0,,118.0,"Drama,War",6.4,1462
tt0106489,movie,A Bronx Tale,1993.0,,121.0,"Crime,Drama,Romance",7.8,133874
tt11774282,tvEpisode,A Bronx Tale,2020.0,,41.0,"Documentary,Reality-TV",7.3,9
tt3780400,tvEpisode,A Bronx Tale,2014.0,,,"Documentary,News",7.7,16
tt7081992,tvEpisode,A Bronx Tale,2017.0,,43.0,Reality-TV,7.6,12
tt0120623,movie,A Bug's Life,1998.0,,95.0,"Adventure,Animation,Comedy",7.2,277394
tt0291777,videoGame,A Bug's Life,1998.0,,,"Adventure,Comedy,Family",6.7,678
tt0578067,tvEpisode,A Bug's Life,1999.0,,50.0,"Action,Adventure,Drama",7.9,732
tt1328724,tvEpisode,A Bug's Life,2008.0,,15.0,Documentary,6.4,7
tt3014060,tvEpisode,A Bug's Life,2013.0,,12.0,"Comedy,Short,Talk-Show",7.2,11
tt5289620,tvEpisode,A Bug's Life,2012.0,,6.0,"Documentary,Short",7.6,16
tt0125680,movie,A Bullet in the Head,1990.0,,89.0,Drama,6.6,148
tt0167820,video,A Century of Science Fiction,1996.0,,,Documentary,5.4,129
tt0342180,movie,A Certain Kind of Death,2003.0,,69.0,Documentary,7.4,908
tt0000823,short,A Change of Heart,1909.0,,11.0,"Drama,Short",4.8,53
tt0156391,tvMovie,A Change of Heart,1998.0,,102.0,Drama,6.2,252
tt0283037,movie,Tanging yaman,2000.0,,112.0,"Drama,Family",6.7,147
tt0506304,tvEpisode,A Change of Heart,1957.0,,25.0,"Action,Adventure,Family",7.2,22
tt0620924,tvEpisode,A Change of Heart,1983.0,,,"Drama,Romance",7.8,11
tt0681299,tvEpisode,A Change of Heart,2001.0,,50.0,"Drama,Romance",8.7,227
tt0733088,tvEpisode,A Change of Heart,1984.0,,60.0,Drama,9.0,9
tt0935554,tvEpisode,A Change of Heart,1988.0,,,"Adventure,Animation,Drama",7.5,18
tt1795960,tvEpisode,A Change of Heart,2011.0,,22.0,"Comedy,Romance",8.3,2870
tt3300014,tvMovie,Coup de coeur,2014.0,,84.0,"Comedy,Drama,Romance",6.2,76
tt3411808,movie,A Change of Heart,2017.0,,,Comedy,6.3,70
tt7286524,tvEpisode,A Change of Heart,2018.0,,27.0,"Comedy,Horror",8.4,925
tt0109396,tvMovie,A Change of Place,1994.0,,94.0,"Drama,Romance",5.8,519
tt0059026,tvMovie,A Charlie Brown Christmas,1965.0,,25.0,"Animation,Comedy,Drama",8.4,34065
tt2569076,tvEpisode,A Charlie Brown Christmas,2012.0,,2.0,"Comedy,Short",5.4,10
tt0283987,tvShort,A Charlie Brown Valentine,2002.0,,22.0,"Animation,Comedy,Family",7.2,1107
tt0093978,movie,Sien lui yau wan,1987.0,,98.0,"Action,Fantasy,Horror",7.5,9380
tt0088915,movie,A Chorus Line,1985.0,,113.0,"Drama,Music,Musical",6.2,9570
tt7677198,video,A Chorus Line,1991.0,,95.0,Musical,7.9,10
tt0085334,movie,A Christmas Story,1983.0,,93.0,"Comedy,Family",7.9,136834
tt0247247,short,A Christmas Story,1913.0,,,"Drama,Short",5.0,15
tt0521841,tvEpisode,A Christmas Story,2001.0,,22.0,"Comedy,Drama,Family",7.7,38
tt0529459,tvEpisode,A Christmas Story,1966.0,,60.0,Western,7.0,95
tt0545051,tvEpisode,A Christmas Story,1994.0,,46.0,"Comedy,Crime,Drama",7.2,20
tt0571455,tvEpisode,A Christmas Story,1989.0,,,"Comedy,Family",7.9,76
tt0577267,tvEpisode,A Christmas Story,1982.0,,25.0,"Comedy,Drama,Family",7.0,153
tt0593211,tvEpisode,A Christmas Story,1985.0,,25.0,"Comedy,Family",6.8,74
tt0618082,tvEpisode,A Christmas Story,1988.0,,,"Comedy,Family",7.4,173
tt0672912,tvEpisode,A Christmas Story,1986.0,,25.0,"Comedy,Family",8.6,98
tt0787533,tvEpisode,A Christmas Story,1992.0,,,Comedy,7.3,53
tt11311458,tvEpisode,A Christmas Story,2020.0,,24.0,Comedy,8.2,67
tt1230119,tvMovie,A Christmas Story,1972.0,,30.0,Animation,6.5,95
tt12670576,tvEpisode,A Christmas Story,2020.0,,,Comedy,6.5,26
tt2549092,tvEpisode,A Christmas Story,2012.0,,3.0,"Comedy,Short",3.9,9
tt3040792,tvEpisode,A Christmas Story,2004.0,,1.0,"Animation,Comedy,Short",5.8,9
tt3361132,tvEpisode,A Christmas Story,2013.0,,22.0,"Comedy,Family,Romance",8.2,83
tt5140288,tvEpisode,A Christmas Story,2015.0,,21.0,Comedy,8.0,310
tt9356998,short,A Christmas Story,2018.0,,4.0,"Comedy,Short",9.0,10
tt0356470,movie,A Cinderella Story,2004.0,,95.0,"Comedy,Family,Romance",5.9,83788
tt1159052,tvEpisode,A Cinderella Story,2007.0,,22.0,"Crime,Documentary",7.1,73
tt2055449,tvEpisode,A Cinderella Story,2012.0,,44.0,"Comedy,Crime,Drama",7.9,229
tt0120633,movie,A Civil Action,1998.0,,115.0,Drama,6.6,28310
tt0066921,movie,A Clockwork Orange,1971.0,,136.0,"Crime,Drama,Sci-Fi",8.3,785267
tt3040814,tvEpisode,A Clockwork Orange,2004.0,,,"Animation,Comedy,Short",6.6,7
tt0118018,movie,Un divan à New York,1996.0,,108.0,"Comedy,Romance",5.9,2146
tt0061523,movie,A Countess from Hong Kong,1967.0,,120.0,"Comedy,Romance",6.1,6055
tt0225442,tvMovie,A Crime of Passion,1999.0,,86.0,"Crime,Drama",5.7,235
tt0349277,tvMovie,A Crime of Passion,2003.0,,,"Crime,Drama,Mystery",5.1,283
tt5521696,tvEpisode,A Crime of Passion,2015.0,,47.0,Documentary,7.5,7
tt0094924,movie,Evil Angels,1988.0,,120.0,"Biography,Drama",6.9,9860
